gene_name	gene_id	spot_id	x	y	z	plane_id	neighbour	neighbour_array	neighbour_prob	omp_score
Cnr1	50	1328	113.66	30.639	72.20704650878906	72	4	[4, 3, 11, 10, 5, 12, 0]	[0.99, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1329	115.94	26.201	54.70399475097656	54	4	[4, 11, 3, 10, 5, 12, 0]	[0.999, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1330	113.035	11.986	71.96636199951172	71	4	[4, 3, 11, 10, 5, 0, 2]	[0.985, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1331	107.382	24.775	104.86968994140625	104	3	[3, 4, 10, 11, 0, 2, 9]	[0.898, 0.102, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1332	123.162	3.612	65.40882110595703	65	4	[4, 3, 5, 11, 10, 0, 12]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1333	102.3	2.594	93.63716125488281	93	3	[3, 4, 10, 0, 2, 11, 5]	[0.992, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1334	108.795	33.9	30.847137451171875	30	11	[11, 4, 10, 3, 17, 18, 0]	[0.996, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1335	118.324	7.855	46.36164474487305	46	4	[4, 3, 11, 5, 10, 0, 12]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1336	114.394	15.745	77.12676239013672	77	4	[4, 3, 11, 10, 5, 0, 2]	[0.991, 0.009, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1337	172.963	24.085	72.74327087402344	72	5	[5, 6, 12, 4, 13, 11, 0]	[0.903, 0.095, 0.001, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1338	118.722	1.402	68.53193664550781	68	4	[4, 3, 5, 11, 10, 0, 2]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1339	170.053	52.98	71.84464263916016	71	12	[12, 19, 5, 13, 6, 11, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1340	116.123	16.659	74.13976287841797	74	4	[4, 3, 11, 10, 5, 12, 0]	[0.998, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1341	97.232	12.56	61.93858337402344	61	3	[3, 4, 10, 2, 11, 9, 0]	[0.997, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1342	90.821	13.411	81.4858627319336	81	3	[3, 4, 10, 2, 9, 11, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1343	149.056	37.472	81.77112579345703	81	4	[4, 12, 5, 11, 6, 19, 0]	[0.91, 0.082, 0.008, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1344	149.852	26.02	31.97902488708496	31	5	[5, 12, 4, 11, 13, 6, 0]	[0.964, 0.027, 0.005, 0.004, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1345	126.633	16.117	90.87513732910156	90	4	[4, 3, 5, 11, 10, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1346	139.784	6.719	39.48114013671875	39	4	[4, 5, 11, 12, 3, 0, 6]	[0.956, 0.044, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1347	126.498	12.277	71.75969696044922	71	4	[4, 3, 5, 11, 10, 12, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1348	128.221	5.933	68.77936553955078	68	4	[4, 3, 5, 11, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1349	149.397	6.664	79.70315551757812	79	4	[4, 5, 6, 12, 11, 3, 0]	[0.985, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1350	131.762	27.593	77.5205078125	77	4	[4, 11, 5, 3, 12, 10, 0]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1351	151.705	15.064	106.12239074707031	106	4	[4, 5, 6, 0, 12, 3, 11]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1352	152.063	30.412	92.75572204589844	92	4	[4, 5, 12, 11, 6, 0, 3]	[0.992, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1353	131.995	13.199	97.72950744628906	97	4	[4, 3, 5, 11, 0, 12, 10]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1354	117.535	1.992	83.38927459716797	83	4	[4, 3, 5, 11, 10, 0, 2]	[0.998, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1355	148.634	0.004	85.64012908935547	85	4	[4, 5, 6, 3, 12, 0, 11]	[0.997, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
Cnr1	50	1356	100.766	23.356	60.327735900878906	60	3	[3, 4, 10, 11, 2, 9, 0]	[0.965, 0.035, 0.0, 0.0, 0.0, 0.0, 0.0]	4.0
